1704612867934 | 6 | statement | connection0 | select * from syscat.sequences
1704612956923 | 4 | statement | connection0 | select * from syscat.sequences
1704612964133 | 2 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1000'
1704612964150 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1001'
1704612964153 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1002'
1704612964155 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1003'
1704612964158 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1004'
1704612964162 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1005'
1704612964164 | 0 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1006'
1704612964167 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1007'
1704612964170 | 1 | statement | connection0 | select extrato0_.EXTO_PK as exto_pk1_2_0_, extrato0_.AMOUNT as amount2_2_0_, extrato0_.CONSENT as consent3_2_0_, extrato0_.CPF as cpf4_2_0_, extrato0_.TR_DATE as tr_date5_2_0_, extrato0_.TR_TYPE as tr_type6_2_0_ from CONTA.EXTRATO extrato0_ where extrato0_.EXTO_PK='identificadorExto1008'
